id,thomas_id,api_uri,first_name,middle_name,last_name,party,twitter_account,facebook_account,facebook_id,instagram,url,rss_url,domain,dw_nominate,ideal_point,seniority,next_election,state,district,missed_votes_pct,votes_with_party_pct,chamber,fblike.16.22.5.115,twtrfol-18-23-6-2015
C001096,2144,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001096.json,Kevin,NA,Cramer,R,RepKevinCramer,CongressmanKevinCramer,4.99E+14,RepKevinCramer,http://cramer.house.gov,http://cramer.house.gov/rss.xml,cramer.house.gov,NA,NA,4,2014,ND,1,0,96.23,house,2534,4063
C001097,2107,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001097.json,Tony,NA,Cardenas,D,RepCardenas,repcardenas,NA,repcardenas,http://cardenas.house.gov,http://cardenas.house.gov/rss.xml,cardenas.house.gov,NA,NA,4,2014,CA,29,9.43,93.75,house,3863,4191
C001101,2196,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001101.json,Katherine,,Clark,D,RepKClark,CongresswomanClark,NA,RepKClark,http://katherineclark.house.gov,,katherineclark.house.gov,NA,NA,4,2014,MA,5,5.66,96,house,3863,4730
D000096,1477,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000096.json,Danny,K.,Davis,D,RepDannyDavis,2.81E+14,NA,,http://www.davis.house.gov,http://davis.house.gov/rss/press-releases.xml,www.davis.house.gov,NA,NA,20,2014,IL,7,0,96.23,house,3863,1556
D000191,279,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000191.json,Peter,A.,DeFazio,D,RepPeterDeFazio,RepPeterDeFazio,94324364811,reppeterdefazio,http://defazio.house.gov,http://defazio.house.gov/rss.xml,www.defazio.house.gov,NA,NA,30,2014,OR,4,9.43,85.42,house,11067,9558
D000197,1479,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000197.json,Diana,NA,DeGette,D,RepDianaDeGette,DianaDeGette,1.11E+11,repdianadegette,http://degette.house.gov,http://degette.house.gov/rss.xml,degette.house.gov,NA,NA,20,2014,CO,1,0,96.23,house,10112,14137
D000216,281,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000216.json,Rosa,NA,DeLauro,D,RosaDeLauro,CongresswomanRosaDeLauro,1.81E+14,,http://delauro.house.gov,http://delauro.house.gov/index.php?option=com_ninjarsssyndicator&amp;feed_id=1&amp;format=raw,delauro.house.gov,NA,NA,26,2014,CT,3,1.89,96.15,house,4394,15073
D000399,303,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000399.json,Lloyd,NA,Doggett,D,RepLloydDoggett,lloyddoggett,1.54E+11,replloyddoggett,http://doggett.house.gov,http://doggett.house.gov/index.php/component/ninjarsssyndicator/?feed_id=1&amp;format=raw,doggett.house.gov,NA,NA,22,2014,TX,35,0,96.23,house,16374,10684
D000482,316,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000482.json,Mike,NA,Doyle,D,USRepMikeDoyle,usrepmikedoyle,79663724861,,http://doyle.house.gov,http://doyle.house.gov/rss.xml,doyle.house.gov,NA,NA,22,2014,PA,14,0,92.45,house,3017,7334
D000533,322,http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000533.json,John,J.,Duncan Jr.,R,RepJohnDuncanJr,CongressmanDuncan,1.02E+14,,http://duncan.house.gov,http://duncan.house.gov/rss.xml,duncan.house.gov,NA,NA,30,2014,TN,2,3.77,92.16,house,4989,1536
